480
480
33
235 290 48
246 92 0.0736311 1
277 121 3.38703 1
183 127 5.76777 1
330 132 3.80427 2
276 159 0.564505 2
164 160 5.59596 1
174 165 2.30711 1
320 200 3.8779 2
263 218 0.539961 1
274 221 3.46066 2
302 221 0.883573 2
172 243 2.01258 1
293 243 3.8779 2
149 245 1.98804 1
242 249 0.441786 1
223 264 6.06229 1
191 265 1.84078 1
331 282 1.12901 1
239 285 1.03084 1
235 294 1.39899 2
269 297 1.07992 1
162 304 1.66897 1
253 304 1.1781 2
197 321 1.10447 2
251 330 4.24606 2
239 332 4.29515 1
209 335 4.34423 2
308 339 1.12901 2
254 341 4.17243 2
263 349 4.02517 1
299 353 4.22152 1
199 354 0.834486 2
270 368 3.75518 2
